weight_config,vehicle,mileage,profile,mean_premium
basic,car_1,mileage_1,good,0.19
basic,car_1,mileage_1,average,0.69
basic,car_1,mileage_1,bad,1.66
basic,car_1,mileage_2,good,0.39
basic,car_1,mileage_2,average,0.89
basic,car_1,mileage_2,bad,1.9
basic,car_1,mileage_3,good,0.58
basic,car_1,mileage_3,average,1.15
basic,car_1,mileage_3,bad,2.04
basic,car_2,mileage_1,good,0.29
basic,car_2,mileage_1,average,0.81
basic,car_2,mileage_1,bad,1.77
basic,car_2,mileage_2,good,0.48
basic,car_2,mileage_2,average,1.03
basic,car_2,mileage_2,bad,1.93
basic,car_2,mileage_3,good,0.71
basic,car_2,mileage_3,average,1.17
basic,car_2,mileage_3,bad,2.24
basic,car_3,mileage_1,good,0.43
basic,car_3,mileage_1,average,0.97
basic,car_3,mileage_1,bad,2.02
basic,car_3,mileage_2,good,0.63
basic,car_3,mileage_2,average,1.17
basic,car_3,mileage_2,bad,2.24
basic,car_3,mileage_3,good,0.88
basic,car_3,mileage_3,average,1.38
basic,car_3,mileage_3,bad,2.32
mileage_focused,car_1,mileage_1,good,0.47
mileage_focused,car_1,mileage_1,average,1.34
mileage_focused,car_1,mileage_1,bad,2.65
mileage_focused,car_1,mileage_2,good,1.11
mileage_focused,car_1,mileage_2,average,1.95
mileage_focused,car_1,mileage_2,bad,3.37
mileage_focused,car_1,mileage_3,good,1.72
mileage_focused,car_1,mileage_3,average,2.39
mileage_focused,car_1,mileage_3,bad,3.91
mileage_focused,car_2,mileage_1,good,0.56
mileage_focused,car_2,mileage_1,average,1.37
mileage_focused,car_2,mileage_1,bad,2.99
mileage_focused,car_2,mileage_2,good,1.19
mileage_focused,car_2,mileage_2,average,2.0
mileage_focused,car_2,mileage_2,bad,3.62
mileage_focused,car_2,mileage_3,good,1.76
mileage_focused,car_2,mileage_3,average,2.62
mileage_focused,car_2,mileage_3,bad,4.09
mileage_focused,car_3,mileage_1,good,0.76
mileage_focused,car_3,mileage_1,average,1.53
mileage_focused,car_3,mileage_1,bad,3.11
mileage_focused,car_3,mileage_2,good,1.34
mileage_focused,car_3,mileage_2,average,2.12
mileage_focused,car_3,mileage_2,bad,3.66
mileage_focused,car_3,mileage_3,good,1.96
mileage_focused,car_3,mileage_3,average,2.71
mileage_focused,car_3,mileage_3,bad,4.39
behaviour_focused,car_1,mileage_1,good,0.34
behaviour_focused,car_1,mileage_1,average,2.33
behaviour_focused,car_1,mileage_1,bad,5.68
behaviour_focused,car_1,mileage_2,good,0.57
behaviour_focused,car_1,mileage_2,average,2.35
behaviour_focused,car_1,mileage_2,bad,6.24
behaviour_focused,car_1,mileage_3,good,0.87
behaviour_focused,car_1,mileage_3,average,2.72
behaviour_focused,car_1,mileage_3,bad,6.2
behaviour_focused,car_2,mileage_1,good,0.48
behaviour_focused,car_2,mileage_1,average,2.32
behaviour_focused,car_2,mileage_1,bad,5.84
behaviour_focused,car_2,mileage_2,good,0.69
behaviour_focused,car_2,mileage_2,average,2.62
behaviour_focused,car_2,mileage_2,bad,6.27
behaviour_focused,car_2,mileage_3,good,0.9
behaviour_focused,car_2,mileage_3,average,2.78
behaviour_focused,car_2,mileage_3,bad,6.5
behaviour_focused,car_3,mileage_1,good,0.66
behaviour_focused,car_3,mileage_1,average,2.41
behaviour_focused,car_3,mileage_1,bad,5.77
behaviour_focused,car_3,mileage_2,good,0.92
behaviour_focused,car_3,mileage_2,average,2.75
behaviour_focused,car_3,mileage_2,bad,6.37
behaviour_focused,car_3,mileage_3,good,1.09
behaviour_focused,car_3,mileage_3,average,3.0
behaviour_focused,car_3,mileage_3,bad,6.47
